,past,present,future,swear,affect,posemo,negemo,anx,anger,sad,discrep
right to internet access,0.031405521529363954,0.06989744319033858,0.014662337124781502,,0.08079683599418304,0.05596376330270426,0.037160257833334764,0.00591715976331361,0.02500666219738137,0.007949439733284065,0.03188116553339298
usability,0.02247026601931733,0.08225521928984415,0.011821627173056534,0.002219616100426221,0.048325260104813396,0.03178380038653856,0.01648325776470711,0.002171978599744817,0.005847463279454643,0.0035602860040653997,0.021005856087898008
circular economy,0.026079719731176575,0.13272163171544832,0.01743740491688999,0.018569160168334587,0.13527720631991572,0.14233530058696942,0.019611279199531727,0.006802721088435374,0.01758167000941636,0.02085983132545907,0.042634249849350506
conspiracy theories,0.0323755765604823,0.07751038811348755,0.00792357207261901,0.004620722174140508,0.05484323964160038,0.028168807005286085,0.026450555479180893,0.0034857297063788546,0.013537470716668247,0.003559900863976358,0.01553627917503806
gsm,0.029333963941759682,0.05915458650757374,0.007112062600687164,0.0038969204897486794,0.05003943423518283,0.03223986162146923,0.017711770390111965,0.002339066616261462,0.008380000922892778,0.0025497823973858183,0.014404372975081941
machine translation,0.026383252060153888,0.09326497519451141,0.019116954584376605,0.003320338831142409,0.04877861978600768,0.03594158487901301,0.016334506610937407,0.0044239724412961905,0.005715158251258734,0.004257704919984628,0.028712542382626004
copyright,0.026210252974130436,0.08262111434307053,0.010696887891297819,0.004515787019856275,0.05039020468085112,0.02954419543629121,0.02060264370559993,0.002292996345096125,0.010087862166419754,0.0026344579843659327,0.020541050074311513
cybercrime,0.028995174965917428,0.0759205486571641,0.009887290532368403,0.00675394006406006,0.05143268736228255,0.030445676080892388,0.022198107302621464,0.003894977785400591,0.01114002265615445,0.00338122723363237,0.018512162889749675
youtube kid,0.23166365269701072,0.06786042236695755,0.04264881386223332,0.07744074614832479,0.1798760027789254,0.036005172877696924,0.1966653205591498,,0.037593005044942396,0.021744109587376142,0.03574859261120872
net neutrality,0.022985477109254655,0.08387494335649912,0.011004054380712322,0.005780078880545296,0.054019402398361276,0.029738151156799716,0.02395199637116337,0.002038089256407049,0.012755776105219573,0.0029424401579127932,0.019611397709018322
innovation hub,0.035093366133059745,0.11390394669984068,0.02353996579116553,0.01788482595568102,0.05419494121531772,0.04547650080643377,0.01630238631160975,0.0023856971658151463,0.012240054725367856,0.004995582777292791,0.027580985224435806
dark web,0.030242685642498046,0.07831199877457343,0.00865954508691454,0.005742595368773453,0.05468716250222715,0.029412716828829042,0.02511081565166372,0.003686350681412715,0.012572994541916169,0.0022133007603247386,0.01842649844209474
freedom of speech,0.022649817726988417,0.08455309392316132,0.010245801588901022,0.005206278126090125,0.06479372940534334,0.03259559767494163,0.031857575485191844,0.0028389941318411297,0.0191821537471299,0.0027170432319387093,0.019199170058914188
deep learning,0.019065310773130482,0.08329308298290011,0.011781838680548575,0.0017304078121787914,0.05086877168243397,0.035779497787583554,0.015135290086388344,0.0016046254356490894,0.005667463230046569,0.0030383682899376148,0.020592365238027956
e-administration,0.04750847046545301,0.049084061153798667,,,0.01486555038700525,0.011885146163268592,0.003374687483709408,0.0019029495718363464,0.0009514747859181732,0.0027855153203342623,0.05000000000000001
open spectrum,0.03260869565217391,0.08695652173913042,,,0.05434782608695652,0.05434782608695652,,,,,0.03260869565217391
data center,0.02312391084097628,0.07843848117353781,0.010958364671085987,0.002875116311510097,0.04649492132776963,0.02989808276611312,0.016494799568621422,0.002138489018771895,0.006234139544334065,0.003054740957400498,0.01960086676077778
network transparency,0.021766169154228857,0.07524875621890548,0.0049751243781094535,0.0012437810945273634,0.038557213930348264,0.02238805970149254,0.01554726368159204,,0.00373134328358209,0.0024875621890547268,0.018656716417910446
misinformation,0.028184369842044806,0.07982789270471831,0.00923652180196345,0.003985331047200179,0.055022270462169225,0.029420275951714484,0.025311772838822456,0.0029370764263781444,0.011946304439429331,0.003329329666531612,0.017626115309326503
censorship,0.02609361134091108,0.08132213585590138,0.009280761205739636,0.0058471794349012835,0.057320719618244684,0.02929290756423692,0.027675601344147566,0.0026709585465462004,0.015047165295020742,0.0029684606089031913,0.017641133315577578
cryptography,0.021942495623254767,0.08485753196399173,0.011571197227821347,0.0017877243502205657,0.05132113341767147,0.036235609277544885,0.015355613911086155,0.0018475758582589736,0.005529813824528913,0.002204440449727062,0.019772179066263287
open standard,0.038936653619073405,0.08856875283482359,0.016903626116145456,0.0032199440904420403,0.052824423703566784,0.04079492140152854,0.020988343993047914,0.0031721183595266114,0.008999596766404985,0.004052311931462051,0.030627817904289246
speech recognition,0.024940123886786167,0.08781660667271525,0.012050037395061207,0.0032881592275172695,0.0445956854446274,0.034226118342683055,0.012119215612779172,0.002191258383906115,0.004407324825717431,0.002152288856528281,0.02596956824328494
real-time collaboration,0.04073963354334125,0.0710013213153185,0.009637406796787026,0.005315008005371092,0.050434060785315024,0.036399366575980065,0.014651649857629285,0.011158911545831731,0.005315008005371092,0.0055016902882274454,0.03386076318902019
soft robotics,0.032760633669175004,0.09920804261238979,0.018839070991405485,0.014216319847057584,0.05172398287595339,0.04318890969974765,0.01609580412607088,0.013428193010894854,0.014495675031316806,0.015384615384615384,0.033986751064434745
user-centered design,0.05043459365493264,0.11136269644334161,,,0.08333333333333333,0.08333333333333333,,,,,0.05043459365493264
fake account,0.02948349815039993,0.08270353069744597,0.00877234744491546,0.006125249525055289,0.059764480356663506,0.03106876626791689,0.028418194420060564,0.0029589950750227925,0.012688239181227927,0.003262943430425884,0.017330610557597968
electronic voting,0.029969681167987414,0.08269179412134832,0.014079695812213513,0.003865232931280267,0.04613926275521321,0.030082518230320224,0.0192373723060246,0.0033488037639008953,0.008389293592482637,0.005413815073077717,0.02788376524388845
digital signature,0.024343671880228564,0.08821506578294226,0.011880075057700891,0.0031115985336035933,0.04519297809176511,0.02946006281061918,0.016512001025201416,0.00266177237692694,0.009021020957876665,0.0024634270055291403,0.022498126110413214
