sentiment,keyword,RC_2017-01.csv,RC_2017-02.csv,RC_2017-03.csv,RC_2017-04.csv,RC_2017-05.csv,RC_2017-06.csv,RC_2017-07.csv,RC_2017-08.csv,RC_2017-09.csv,RC_2017-10.csv,RC_2017-11.csv,RC_2017-12.csv,RC_2018-01.csv,RC_2018-02.csv,RC_2018-03.csv,RC_2018-04.csv,RC_2018-05.csv,RC_2018-06.csv,RC_2018-07.csv,RC_2018-08.csv
num_comments,real-time collaboration,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,7.0,1.0,5.0,0.0,0.0
num_comments,soft robotics,0.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,28.0,6.0,4.0,10.0,0.0,24.0,4.0,0.0,1.0,3.0,39.0,23.0
num_comments,user-centered design,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
num_comments,fake account,491.0,4770.0,18.0,2221.0,895.0,328.0,510.0,5969.0,1897.0,3899.0,1652.0,449.0,546.0,6270.0,1767.0,479.0,1517.0,645.0,3054.0,983.0
num_comments,electronic voting,37.0,28.0,0.0,10.0,46.0,43.0,110.0,11.0,5.0,2.0,8.0,32.0,8.0,50.0,91.0,31.0,176.0,519.0,1372.0,629.0
num_comments,privacy-enhancing technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,digital signature,40.0,36.0,0.0,58.0,44.0,62.0,110.0,91.0,186.0,290.0,42.0,23.0,47.0,28.0,139.0,34.0,131.0,27.0,47.0,99.0
num_comments,gdpr,10.0,13.0,1.0,84.0,31.0,69.0,27.0,39.0,58.0,165.0,174.0,512.0,201.0,434.0,783.0,3051.0,21169.0,7264.0,2330.0,1800.0
num_comments,vehicle-to-vehicle,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,2.0,95.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,targeted advertising,58.0,12.0,0.0,163.0,49.0,63.0,65.0,103.0,12.0,28.0,78.0,112.0,80.0,322.0,99.0,189.0,55.0,51.0,31.0,73.0
num_comments,internet access,2284.0,3264.0,25.0,2107.0,950.0,1756.0,1122.0,1270.0,2479.0,1176.0,7917.0,13119.0,1325.0,1168.0,5371.0,3562.0,1139.0,4967.0,1158.0,1082.0
num_comments,wealth concentration,0.0,0.0,0.0,23.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,19.0,48.0,0.0,5.0,0.0,11.0,4.0,1.0,19.0
num_comments,digital health,12.0,1.0,0.0,29.0,14.0,60.0,11.0,2.0,9.0,252.0,105.0,9.0,10.0,27.0,25.0,16.0,36.0,45.0,175.0,23.0
num_comments,google,143023.0,131690.0,3459.0,162056.0,150726.0,137559.0,130085.0,282395.0,162183.0,221942.0,159713.0,165431.0,184064.0,142084.0,175961.0,164211.0,175737.0,132989.0,164064.0,231660.0
num_comments,apple inc,215.0,17.0,0.0,44.0,132.0,58.0,37.0,570.0,509.0,32.0,103.0,49.0,124.0,55.0,28.0,30.0,49.0,92.0,26.0,92.0
num_comments,tencent,208.0,19.0,0.0,964.0,290.0,351.0,701.0,514.0,698.0,411.0,1518.0,1483.0,3692.0,1087.0,1768.0,1232.0,15184.0,2757.0,4545.0,4497.0
num_comments,chinese tech,53.0,3.0,0.0,35.0,30.0,33.0,55.0,19.0,65.0,46.0,54.0,79.0,256.0,130.0,270.0,265.0,430.0,741.0,149.0,430.0
num_comments,gps,7273.0,5386.0,541.0,5459.0,6140.0,5898.0,10489.0,6172.0,7118.0,13782.0,10869.0,8419.0,35872.0,7002.0,7080.0,8241.0,8544.0,9029.0,9126.0,9151.0
num_comments,information privacy,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,6.0,0.0,0.0
num_comments,economic inequality,902.0,8.0,1.0,899.0,640.0,131.0,128.0,1952.0,114.0,43.0,120.0,1472.0,3067.0,74.0,2003.0,198.0,138.0,426.0,48.0,116.0
num_comments,internet privacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,algorithmic regulation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
